year,name,posX,posY
2002,Jeffrey Heer,0.6550564903908729,0.591869044293178
2002,Ed Huai-hsin Chi,0.7406585420852321,0.6978760311442279
2002,Adam Rosien,0.7406585420852321,0.6978760311442279
2002,Jeffrey Heer,0.6550564903908729,0.591869044293178
2002,Ed H. Chi,0.677350881792659,0.6253453215708518
2002,Sarah J. Waterson,0.23738690049663558,0.25529575446540165
2002,Jeffrey Heer,0.6550564903908729,0.591869044293178
2002,James A. Landay,0.23738690049663558,0.25529575446540165
2002,Tara Matthews,0.23738690049663558,0.25529575446540165
2002,Jason I. Hong,0.23738690049663558,0.25529575446540165
2002,Tim Sohn,0.23738690049663558,0.25529575446540165
2003,Jeffrey Heer,0.3739365855836809,0.5970796287442635
2003,Jason I. Hong,0.40095352133096984,0.4936233703795953
2003,Alan Newberger,0.40095352133096984,0.4936233703795953
2003,Chris Beckmann,0.40095352133096984,0.4936233703795953
2003,Jeffrey Heer,0.3739365855836809,0.5970796287442635
2003,Ana Ramirez,0.3755350141937282,0.557314091050661
2003,Marc Davis,0.3755350141937282,0.557314091050661
2003,Jeffrey Heer,0.3739365855836809,0.5970796287442635
2003,Stuart K. Card,0.4697897815278774,0.5381481728690899
2004,Jeffrey Heer,0.4529836589378517,0.5912494807240767
2004,Jock D. Mackinlay,0.3069085890405472,0.5757023068549768
2004,Jeffrey Heer,0.4529836589378517,0.5912494807240767
2004,Stuart K. Card,0.6755720815772227,0.4645730657055402
2004,Jeffrey Heer,0.4529836589378517,0.5912494807240767
2004,Scott Lederer,0.3519228028303276,0.7201356407378477
2004,Jeffrey Heer,0.4529836589378517,0.5912494807240767
2004,Marc Davis,0.3639210844773107,0.5277297466052313
2004,Ana Ramirez,0.3639210844773107,0.5277297466052313
2004,Jennifer Mankoff,0.3639210844773107,0.5277297466052313
2004,Nathaniel S. Good,0.3639210844773107,0.5277297466052313
2005,Jeffrey Heer,0.5133970884647376,0.48091307755475954
2005,Stuart K. Card,0.5057711222577506,0.4748172096766743
2005,James A. Landay,0.5057711222577506,0.4748172096766743
2005,Jeffrey Heer,0.5133970884647376,0.48091307755475954
2005,Danah Boyd,0.5168542252836007,0.41631447542995004
2005,Jeffrey Heer,0.5133970884647376,0.48091307755475954
