name,year,citationcount,affiliation,paperID
Chris North,1999,110,"Human-Computer Interaction Laboratory, University of Maryland, UMIACS, A.V. Williams Bldg, College Park MD",53e998b8b7602d97020f4604
Catherine Plaisant,1999,110,"Human-Computer Interaction Laboratory, University of Maryland, UMIACS, A.V. Williams Bldg, College Park MD",53e998b8b7602d97020f4604
Ben Shneiderman,1999,110,"Human-Computer Interaction Laboratory, University of Maryland, UMIACS, A.V. Williams Bldg, College Park MD",53e998b8b7602d97020f4604
Wei Wei,2011,2,,53e998cdb7602d970210645b
Nan Cao,2011,2,,53e998cdb7602d970210645b
Jon Atle Gulla,2011,2,,53e998cdb7602d970210645b
Huamin Qu,2011,2,,53e998cdb7602d970210645b
Ben Shneiderman,1976,9,,53e998e1b7602d970211b2a2
Kwan-Liu Ma,1999,2,,53e998f0b7602d970212ddd5
Frits H. Post,1999,2,,53e998f0b7602d970212ddd5
Ben Shneiderman,2000,3,"Human Computer Interaction Laboratory & Department of Computer Science, University of Maryland, College Park, MD",53e9990db7602d970214c1f7
Tom Hewett,2000,3,"Department of Psychology, Sociology and Anthropology, Drexel University, Philadelphia, PA",53e9990db7602d970214c1f7
Hon-Cheng Wong,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China",53e99915b7602d970215275c
Huamin Qu,2006,7,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China",53e99915b7602d970215275c
Un-Hong Wong,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China",53e99915b7602d970215275c
Zesheng Tang,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China",53e99915b7602d970215275c
Klaus Mueller,2006,7,"Department of Computer Science, Stony Brook University, Stony Brook",53e99915b7602d970215275c
Tamara Munzner,2003,485,University of British Columbia,53e9992ab7602d9702163ad0
François Guimbretière,2003,485,University of Maryland,53e9992ab7602d9702163ad0
Serdar Tasiran,2003,485,Hewlett Packard Systems Research Center,53e9992ab7602d9702163ad0
Li Zhang,2003,485,Hewlett Packard Systems Research Center,53e9992ab7602d9702163ad0
Yunhong Zhou,2003,485,Hewlett Packard Systems Research Center,53e9992ab7602d9702163ad0
Haixia Zhao,2005,18,"Univ Maryland, Human Comp Interact Lab, College Pk, MD 20742 USA",53e99952b7602d970218f6b7
Ben Shneiderman,2005,18,,53e99952b7602d970218f6b7
Ben Shneiderman,2005,0,,53e99952b7602d9702190f6f
Anna Tikhonova,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA",53e99953b7602d970219536c
Carlos D. Correa,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA",53e99953b7602d970219536c
Kwan-Liu Ma,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA",53e99953b7602d970219536c
Han-Wei Shen,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT",53e99959b7602d970219879b
Christopher R. Johnson,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT",53e99959b7602d970219879b
Kwan-Liu Ma,1996,138,"ICASE, NASA Langley Research Center, Hampton, Virginia",53e99959b7602d970219879b
Adam Perer,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742",53e9995ab7602d970219d703
Ben Shneiderman,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742",53e9995ab7602d970219d703
Douglas W. Oard,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and College of Information Studies, University of Maryland, College Park, MD 20742",53e9995ab7602d970219d703
Nathaniel Fout,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
Hiroshi Akiba,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
Kwan-Liu Ma,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
Aaron E. Lefohn,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
Joe Kniss,2005,30,"Department of Computer Science, The University of Utah",53e9996eb7602d97021ad4cd
Maylis Delest,2004,26,Université de Bordeaux I,53e99984b7602d97021c2ba7
Tamara Munzner,2004,26,University of British Columbia,53e99984b7602d97021c2ba7
David Auber,2004,26,Université de Bordeaux I,53e99984b7602d97021c2ba7
Jean-Philippe Domenger,2004,26,Université de Bordeaux I,53e99984b7602d97021c2ba7
Jiansu Pu,2012,6,,53e9998ab7602d97021cab6a
Siyuan Liu,2012,6,,53e9998ab7602d97021cab6a
Huamin Qu,2012,6,,53e9998ab7602d97021cab6a
Lionel M. Ni,2012,6,,53e9998ab7602d97021cab6a
Chris North,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD",53e99997b7602d97021d89db
Ben Shneiderman,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD",53e99997b7602d97021d89db
Shyh-Kuang Ueng,1997,158,"Dept. of Comput. Sci., Nat. Taiwan Ocean Univ., Keelung, Taiwan",53e99998b7602d97021dbece
Christopher A. Sikorski,1997,158,"Department of Computer Science, University of Utah, Salt Lake, UT, USA",53e99998b7602d97021dbece
Kwan-Liu Ma,1997,158,"Institute for Computer Applications in Science and Engineering (ICASE), NASA-Langley Research Center, Hampton, VA, USA",53e99998b7602d97021dbece
Evan Golub,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA.",53e99998b7602d97021de4a5
Ben Shneiderman,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA",53e99998b7602d97021de4a5
Aleks Aris,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742",53e999a5b7602d97021ea686
Ben Shneiderman,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742",53e999a5b7602d97021ea686
Vahed Qazvinian,2009,31,"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI 48109",53e999a5b7602d97021ea686
Dragomir R. Radev,2009,31,"Univ Michigan, Dept Elect Engn & Comp Sci, Ann Arbor, MI 48109 USA",53e999a5b7602d97021ea686
Nathaniel Fout,2007,89,IEEE,53e999b4b7602d97021f80c1
Kwan-Liu Ma,2007,89,IEEE,53e999b4b7602d97021f80c1
Christopher Ahlberg,1994,305,"Dept. of Computer Science, Chalmers University of Technology, S-412 96 Göteborg, Sweden and Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Resea ...",53e999cab7602d970220dd00
Ben Shneiderman,1994,305,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD",53e999cab7602d970220dd00
Adam Perer,2008,263,"University of Maryland, College Park, MD, USA",53e999cbb7602d97022115d7
Ben Shneiderman,2008,263,"University of Maryland, College Park, MD, USA",53e999cbb7602d97022115d7
Matthew Powers,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
Conda Lashley,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
Pamela Sanchez,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
Ben Shneiderman,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
Chris Muelder,2009,68,"University of California, Davis, USA",53e999d2b7602d9702218ec1
Kwan-Liu Ma,2009,68,"University of California, Davis, USA",53e999d2b7602d9702218ec1
Ben Shneiderman,1995,1,"University of Maryland, College Park, MD",53e999e7b7602d970222ade1
Franz Sauer,2013,5,"University of California, Davis, California",53e999e7b7602d970222da11
Hongfeng Yu,2013,5,"University of Nebraska, Lincoln, Nebraska",53e999e7b7602d970222da11
Kwan-Liu Ma,2013,5,"University of California, Davis, California",53e999e7b7602d970222da11
Ben Shneiderman,1980,10,,53e999e7b7602d970222fa1d
Glenn Thomas,1980,10,,53e999e7b7602d970222fa1d
Kwan-Liu Ma,2006,24,"Department of Computer Science, University of California at Davis",53e999f5b7602d970223e602
Ben Shneiderman,1996,1,,53e99a04b7602d9702250811
Ben Shneiderman,1974,0,,53e99a0ab7602d9702259218
Mengdie Hu,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States",53e99a0ab7602d970225a1e5
Shixia Liu,2012,230,"Microsoft Research Asia, Beijing, China",53e99a0ab7602d970225a1e5
Furu Wei,2012,230,"Microsoft Research Asia, Beijing, China",53e99a0ab7602d970225a1e5
Yingcai Wu,2012,230,"University of California at Davis, Davis, California, United States",53e99a0ab7602d970225a1e5
John Stasko,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States",53e99a0ab7602d970225a1e5
Kwan-Liu Ma,2012,230,"University of California at Davis, Davis, California, United States",53e99a0ab7602d970225a1e5
Ben Shneiderman,1997,10,Univ. of Maryland at College Park,53e99a0eb7602d970225c8e3
Shyh-Kuang Ueng,1996,122,"UNIV UTAH, DEPT COMP SCI, SALT LAKE CITY, UT 84112 USA",53e99a1ab7602d970226f94a
Christopher Sikorski,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA",53e99a1ab7602d970226f94a
Kwan-Liu Ma,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA",53e99a1ab7602d970226f94a
Ben Shneiderman,1998,220,"Department of Computer Science and Human-Computer Interaction Laboratory, University of Maryland, College Park",53e99a2ab7602d9702282405
Donald Byrd,1998,220,"Computer Science Department, University of Massachusetts, Amherst and Advanced Music Notation Systems, Inc., Williamsburg, Mass.",53e99a2ab7602d9702282405
W. Bruce Croft,1998,220,"Department of Computer Science and Intelligent Information Retrieval, University of Massachusetts, Amherst",53e99a2ab7602d9702282405
Lori L. Scarlatos,1997,19,,53e99a2bb7602d97022861ec
Rudolph P. Darken,1997,19,,53e99a2bb7602d97022861ec
Komei Harada,1997,19,,53e99a2bb7602d97022861ec
Carrie Heeter,1997,19,,53e99a2bb7602d97022861ec
Richard Muller,1997,19,,53e99a2bb7602d97022861ec
Ben Shneiderman,1997,19,,53e99a2bb7602d97022861ec
Brad A. Myers,1991,22,,53e99a2bb7602d9702287915
Allen Cypher,1991,22,,53e99a2bb7602d9702287915
David Maulsby,1991,22,,53e99a2bb7602d9702287915
David C. Smith,1991,22,,53e99a2bb7602d9702287915
Ben Shneiderman,1991,22,,53e99a2bb7602d9702287915
Ben Shneiderman,1986,78,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742, USA",53e99a2fb7602d970228971a
Michael Sedlmair,2012,828,University of British Columbia,53e99a35b7602d9702296695
Miriah D. Meyer,2012,828,University of Utah,53e99a35b7602d9702296695
Tamara Munzner,2012,828,University of British Columbia,53e99a35b7602d9702296695
Ben Shneiderman,1981,0,"Department of Computer Science, University of Maryland, College Park, MD 20742, USA",53e99a3cb7602d970229bf4e
Kwan-Liu Ma,1993,19,"ICASE, NASA Langley Research Center, Hampton, Virginia",53e99a3cb7602d970229d59a
Philip J. Smith,1993,19,"University of Utah, Salt Lake City, Utah",53e99a3cb7602d970229d59a
John Stasko,1992,188,,53e99a43b7602d97022a3014
Haomian Wang,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
Weiwei Cui,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
Hong Zhou,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
Yingcai Wu,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
Huamin Qu,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
Brett Wilson,2002,41,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA",53e99a92b7602d9702307e41
Eric B. Lum,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99a92b7602d9702307e41
Kwan-Liu Ma,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99a92b7602d9702307e41
Cheng-Kai Chen,2008,9,,53e99a98b7602d970230f786
Russell Thomason,2008,9,,53e99a98b7602d970230f786
Kwan-Liu Ma,2008,9,,53e99a98b7602d970230f786
Brian Johnson,1991,2238,,53e99aa5b7602d970231b53d
Ben Shneiderman,1991,2238,,53e99aa5b7602d970231b53d
Jinwook Seo,2006,119,IEEE Computer Society,53e99aa6b7602d970231e68c
Ben Shneiderman,2006,119,IEEE,53e99aa6b7602d970231e68c
Yubo Zhang,2011,15,,53e99aabb7602d97023226b7
Carlos D. Correa,2011,15,,53e99aabb7602d97023226b7
Kwan-Liu Ma,2011,15,,53e99aabb7602d97023226b7
John Stasko,2006,0,,53e99aacb7602d9702325b69
Matthew O. Ward,2006,0,,53e99aacb7602d9702325b69
Huamin Qu,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
Nan Zhang,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
Ran Shao,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
Arie E. Kaufman,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
Klaus Mueller,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
Carsten Gorg,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu",53e99abeb7602d970233d479
Zhicheng Liu,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu",53e99abeb7602d970233d479
Neel Parekh,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: justneel@gmail.com",53e99abeb7602d970233d479
Kanupriya Singhal,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu",53e99abeb7602d970233d479
John Stasko,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu",53e99abeb7602d970233d479
Carlos D. Correa,2009,87,"University of California, Davis, USA",53e99ac4b7602d97023408c7
Kwan-Liu Ma,2009,87,"University of California, Davis, USA",53e99ac4b7602d97023408c7
Kwan-Liu Ma,2008,1,University of California at Davis,53e99ac4b7602d9702344f6f
Yingcai Wu,2011,0,,53e99ad0b7602d9702350df2
Kwan-Liu Ma,2011,0,,53e99ad0b7602d9702350df2
Kwan-Liu Ma,2012,199,"University of California, Davis",53e99ad1b7602d970235347b
I Liao,2012,199,"University of California, Davis",53e99ad1b7602d970235347b
J Frazier,2012,199,The Exploratorium,53e99ad1b7602d970235347b
H Hauser,2012,199,University of Bergen,53e99ad1b7602d970235347b
H-N Kostis,2012,199,NASA Goddard Space Flight Center,53e99ad1b7602d970235347b
Francis Harvey,1996,1,,53e99ad7b7602d9702359958
Ben Gross,1996,1,,53e99ad7b7602d9702359958
Philip E. Agre,1996,1,,53e99ad7b7602d9702359958
Ben Shneiderman,1996,1,,53e99ad7b7602d9702359958
Yu-Hsuan Chan,2013,49,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave,2063 Kemper Hall, Davis, CA 95616 USA",53e99addb7602d97023626c7
Carlos D Correa,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99addb7602d97023626c7
Kwan-Liu Ma,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99addb7602d97023626c7
Megan Monroe,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
Rongjian Lan,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
Hanseung Lee,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
Catherine Plaisant,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
Ben Shneiderman,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
William A. Pike,2009,344,"Pacific Northwest National Laboratory, Richland, WA",53e99aecb7602d9702375a20
John Stasko,2009,344,"Georgia lristitute of Technology, Atlanta, GA",53e99aecb7602d9702375a20
Remco Chang,2009,344,"University of North Carolina at Charlotte, Charlotte, NC",53e99aecb7602d9702375a20
Theresa A. O'Connell,2009,344,"National lnstitute of Standards and Technology, Gaithersburg, MD",53e99aecb7602d9702375a20
Huamin Qu,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
Feng Qiu,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
Nan Zhang,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
Arie E. Kaufman,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
Ming Wan,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
Matt Williams,2004,160,University of British Columbia,53e99b16b7602d97023a6781
Tamara Munzner,2004,160,University of British Columbia,53e99b16b7602d97023a6781
Richard J. Miara,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
Joyce A. Musselman,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
Juan A. Navarro,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
Ben Shneiderman,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
Ben Shneiderman,2000,1,,53e99b2cb7602d97023c93db
Ben Shneiderman,2006,296,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA",53e99b43b7602d97023e4404
Gerhard Fischer,2006,296,,53e99b43b7602d97023e4404
Mary Czerwinski,2006,296,,53e99b43b7602d97023e4404
Mitchel Resnick,2006,296,,53e99b43b7602d97023e4404
Brad A. Myers,2006,296,,53e99b43b7602d97023e4404
Linda Candy,2006,296,,53e99b43b7602d97023e4404
Ernest A. Edmonds,2006,296,,53e99b43b7602d97023e4404
Mike Eisenberg,2006,296,,53e99b43b7602d97023e4404
Elisa Giaccardi,2006,296,,53e99b43b7602d97023e4404
Thomas T. Hewett,2006,296,,53e99b43b7602d97023e4404
Pamela Jennings,2006,296,,53e99b43b7602d97023e4404
Bill Kules,2006,296,,53e99b43b7602d97023e4404
Kumiyo Nakakoji,2006,296,,53e99b43b7602d97023e4404
Jay F. Nunamaker,2006,296,,53e99b43b7602d97023e4404
Randy F. Pausch,2006,296,,53e99b43b7602d97023e4404
Ted Selker,2006,296,,53e99b43b7602d97023e4404
Elisabeth Sylvan,2006,296,,53e99b43b7602d97023e4404
Michael A. Terry,2006,296,,53e99b43b7602d97023e4404
John Alexis Guerra Gómez,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA",53e99b4ab7602d97023ed63f
Audra Buck-Coleman,2011,12,"Department of Art, University of Maryland, USA",53e99b4ab7602d97023ed63f
Catherine Plaisant,2011,12,"HCIL, University of Maryland, UMIACS, USA",53e99b4ab7602d97023ed63f
Ben Shneiderman,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA",53e99b4ab7602d97023ed63f
Carmen Sigovan,2013,28,"Univ Calif Davis, Davis, CA 95616 USA",53e99b56b7602d97023f763a
Chris Muelder,2013,28,"Univ Calif Davis, Davis, CA 95616 USA",53e99b56b7602d97023f763a
Kwan-Liu Ma,2013,28,"Univ Calif Davis, Davis, CA 95616 USA",53e99b56b7602d97023f763a
Jason Cope,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA",53e99b56b7602d97023f763a
Kamil Iskra,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA",53e99b56b7602d97023f763a
Robert Ross,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA",53e99b56b7602d97023f763a
Wei Chen,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
Zi'ang Ding,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
Song Zhang,2009,74,"Department of Computer Science and Engineering,Mississippi State University",53e99b63b7602d970240c244
Anna MacKay-Brandt,2009,74,Brown University,53e99b63b7602d970240c244
Stephen Correia,2009,74,Brown University,53e99b63b7602d970240c244
Huamin Qu,2009,74,"Department of Computer Science and Engineering,The Hong Kong University of Science and Technology",53e99b63b7602d970240c244
John Allen Crow,2009,74,"College of Veterinary Medicine, Mississippi State University",53e99b63b7602d970240c244
David F Tate,2009,74,Brigham and Women’s Hospital,53e99b63b7602d970240c244
Zhicheng Yan,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
Qunsheng Peng,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
Tarik Crnovrsanin,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States",53e99b86b7602d970242aab1
