name,year,citationcount,affiliation
Klaus Mueller,2006,7,"Department of Computer Science, Stony Brook University, Stony Brook"
Tamara Munzner,2003,485,University of British Columbia
François Guimbretière,2003,485,University of Maryland
Serdar Tasiran,2003,485,Hewlett Packard Systems Research Center
Li Zhang,2003,485,Hewlett Packard Systems Research Center
Yunhong Zhou,2003,485,Hewlett Packard Systems Research Center
Haixia Zhao,2005,18,"Univ Maryland, Human Comp Interact Lab, College Pk, MD 20742 USA"
Ben Shneiderman,2005,18,"University of Maryland, College Park, MD"
Ben Shneiderman,2005,0,"University of Maryland, College Park, MD"
Anna Tikhonova,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
Carlos D. Correa,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
Kwan-Liu Ma,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
Han-Wei Shen,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT"
Christopher R. Johnson,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT"
Kwan-Liu Ma,1996,138,"ICASE, NASA Langley Research Center, Hampton, Virginia"
Adam Perer,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742"
Ben Shneiderman,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742"
Douglas W. Oard,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and College of Information Studies, University of Maryland, College Park, MD 20742"
Nathaniel Fout,2005,30,"Department of Computer Science, The University of California, Davis"
Hiroshi Akiba,2005,30,"Department of Computer Science, The University of California, Davis"
Kwan-Liu Ma,2005,30,"Department of Computer Science, The University of California, Davis"
Aaron E. Lefohn,2005,30,"Department of Computer Science, The University of California, Davis"
Joe Kniss,2005,30,"Department of Computer Science, The University of Utah"
Maylis Delest,2004,26,Université de Bordeaux I
Tamara Munzner,2004,26,University of British Columbia
David Auber,2004,26,Université de Bordeaux I
Jean-Philippe Domenger,2004,26,Université de Bordeaux I
Jiansu Pu,2012,6,"Hong Kong University of Science and Technology, Hong Kong"
Siyuan Liu,2012,6,"iLab, Heinz College, Carnegie Mellon University, Pittsburgh, PA, USA"
Huamin Qu,2012,6,"Hong Kong University of Science and Technology, Hong Kong"
Lionel M. Ni,2012,6,"Hong Kong University of Science and Technology, Hong Kong"
Chris North,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD"
Ben Shneiderman,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD"
Shyh-Kuang Ueng,1997,158,"Dept. of Comput. Sci., Nat. Taiwan Ocean Univ., Keelung, Taiwan"
Christopher A. Sikorski,1997,158,"Department of Computer Science, University of Utah, Salt Lake, UT, USA"
Kwan-Liu Ma,1997,158,"Institute for Computer Applications in Science and Engineering (ICASE), NASA-Langley Research Center, Hampton, VA, USA"
Evan Golub,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA."
Ben Shneiderman,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA"
Aleks Aris,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742"
Ben Shneiderman,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742"
Vahed Qazvinian,2009,31,"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI 48109"
Dragomir R. Radev,2009,31,"Univ Michigan, Dept Elect Engn & Comp Sci, Ann Arbor, MI 48109 USA"
Nathaniel Fout,2007,89,"Univesity of California, Davis, USA"
Kwan-Liu Ma,2007,89,"Univesity of California, Davis, USA"
Christopher Ahlberg,1994,305,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD"
Ben Shneiderman,1994,305,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD"
Adam Perer,2008,263,"University of Maryland, College Park, MD, USA"
Ben Shneiderman,2008,263,"University of Maryland, College Park, MD, USA"
Matthew Powers,1984,83,"Univ. of Maryland, College Park, MD"
Conda Lashley,1984,83,"Univ. of Maryland, College Park, MD"
Pamela Sanchez,1984,83,"Univ. of Maryland, College Park, MD"
Ben Shneiderman,1984,83,"Univ. of Maryland, College Park, MD"
Chris Muelder,2009,68,"University of California, Davis, USA"
Kwan-Liu Ma,2009,68,"University of California, Davis, USA"
Ben Shneiderman,1995,1,"University of Maryland, College Park, MD"
Franz Sauer,2013,5,"University of California, Davis, California"
Hongfeng Yu,2013,5,"University of Nebraska, Lincoln, Nebraska"
Kwan-Liu Ma,2013,5,"University of California, Davis, California"
Ben Shneiderman,1980,10,"Department of Computer Science, University of Maryland, College Park, MD 20742, USA"
Glenn Thomas,1980,10,"Kent State University, Kent, OH"
Kwan-Liu Ma,2006,24,"Department of Computer Science, University of California at Davis"
Ben Shneiderman,1996,1,"University of Maryland, College Park, MD"
Ben Shneiderman,1974,0,"Indiana University Bloomington, Indiana"
Mengdie Hu,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States"
Shixia Liu,2012,230,"Microsoft Research Asia, Beijing, China"
Furu Wei,2012,230,"Microsoft Research Asia, Beijing, China"
Yingcai Wu,2012,230,"University of California at Davis, Davis, California, United States"
John Stasko,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States"
Kwan-Liu Ma,2012,230,"University of California at Davis, Davis, California, United States"
Ben Shneiderman,1997,10,Univ. of Maryland at College Park
Shyh-Kuang Ueng,1996,122,"UNIV UTAH, DEPT COMP SCI, SALT LAKE CITY, UT 84112 USA"
Christopher Sikorski,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA"
Kwan-Liu Ma,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA"
Ben Shneiderman,1998,220,"Department of Computer Science and Human-Computer Interaction Laboratory, University of Maryland, College Park"
Donald Byrd,1998,220,"Computer Science Department, University of Massachusetts, Amherst and Advanced Music Notation Systems, Inc., Williamsburg, Mass."
W. Bruce Croft,1998,220,"Department of Computer Science and Intelligent Information Retrieval, University of Massachusetts, Amherst"
Lori L. Scarlatos,1997,19,"Brooklyn College, Department of Computer and Information Science, 2900 Bedford Avenue, Brooklyn, NY"
Rudolph P. Darken,1997,19,Naval Postgraduate School
Komei Harada,1997,19,"NEC, Inc"
Carrie Heeter,1997,19,"Michigan State University, East Lansing, MI"
Richard Muller,1997,19,Hampshire College
Ben Shneiderman,1997,19,"University of Maryland, College Park, MD"
Brad A. Myers,1991,22,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"
Allen Cypher,1991,22,"Apple Computer, Inc., Cupertino, CA"
David Maulsby,1991,22,"Calgary, Alberta, Canada"
David C. Smith,1991,22,"Apple Computer, Inc., Cupertino, CA"
Ben Shneiderman,1991,22,"University of Maryland, College Park, MD"
Ben Shneiderman,1986,78,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742, USA"
Michael Sedlmair,2012,828,University of British Columbia
Miriah D. Meyer,2012,828,University of Utah
Tamara Munzner,2012,828,University of British Columbia
Ben Shneiderman,1981,0,"Department of Computer Science, University of Maryland, College Park, MD 20742, USA"
Kwan-Liu Ma,1993,19,"ICASE, NASA Langley Research Center, Hampton, Virginia"
Philip J. Smith,1993,19,"University of Utah, Salt Lake City, Utah"
John Stasko,1992,188,
Haomian Wang,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Weiwei Cui,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Hong Zhou,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Yingcai Wu,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Huamin Qu,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Brett Wilson,2002,41,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA"
Eric B. Lum,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Kwan-Liu Ma,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Cheng-Kai Chen,2008,9,"University of California, Davis, CA, USA"
Russell Thomason,2008,9,"University of California, Davis, CA, USA"
Kwan-Liu Ma,2008,9,"University of California, Davis, CA, USA"
Brian Johnson,1991,2238,"University of Maryland, College Park, MD"
Ben Shneiderman,1991,2238,"University of Maryland, College Park, MD"
Jinwook Seo,2006,119,"University of Maryland, College Park, MD"
Ben Shneiderman,2006,119,"University of Maryland, College Park, MD"
Yubo Zhang,2011,15,"University of California, Davis"
Carlos D. Correa,2011,15,Lawrence Livermore National Laboratory
Kwan-Liu Ma,2011,15,"University of California, Davis"
John Stasko,2006,0,
Matthew O. Ward,2006,0,
Huamin Qu,2004,14,Stony Brook University
Nan Zhang,2004,14,Stony Brook University
Ran Shao,2004,14,Stony Brook University
Arie E. Kaufman,2004,14,Stony Brook University
Klaus Mueller,2004,14,Stony Brook University
Carsten Gorg,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu"
Zhicheng Liu,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu"
Neel Parekh,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: justneel@gmail.com"
Kanupriya Singhal,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu"
John Stasko,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu"
Carlos D. Correa,2009,87,"University of California, Davis, USA"
Kwan-Liu Ma,2009,87,"University of California, Davis, USA"
Kwan-Liu Ma,2008,1,University of California at Davis
Yingcai Wu,2011,0,"University of California, Davis"
Kwan-Liu Ma,2011,0,"University of California, Davis"
Kwan-Liu Ma,2012,199,"University of California, Davis"
I Liao,2012,199,"University of California, Davis"
J Frazier,2012,199,The Exploratorium
H Hauser,2012,199,University of Bergen
H-N Kostis,2012,199,NASA Goddard Space Flight Center
Francis Harvey,1996,1,"Swiss Institute of Technology (EPFL), Lausanne, Switzerland"
Ben Gross,1996,1,Sociology
Philip E. Agre,1996,1,"Univ. of California, San Diego, San Diego"
Yu-Hsuan Chan,2013,49,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave,2063 Kemper Hall, Davis, CA 95616 USA"
Carlos D Correa,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Kwan-Liu Ma,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Megan Monroe,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
Rongjian Lan,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
Hanseung Lee,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
Catherine Plaisant,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
Ben Shneiderman,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
William A. Pike,2009,344,"Pacific Northwest National Laboratory, Richland, WA"
John Stasko,2009,344,"Georgia lristitute of Technology, Atlanta, GA"
Remco Chang,2009,344,"University of North Carolina at Charlotte, Charlotte, NC"
Theresa A. O'Connell,2009,344,"National lnstitute of Standards and Technology, Gaithersburg, MD"
Huamin Qu,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
Feng Qiu,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
Nan Zhang,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
Arie E. Kaufman,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
Ming Wan,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
Matt Williams,2004,160,University of British Columbia
Tamara Munzner,2004,160,University of British Columbia
Richard J. Miara,1983,185,"Univ. of Maryland, College Park"
Joyce A. Musselman,1983,185,"Univ. of Maryland, College Park"
Juan A. Navarro,1983,185,"Univ. of Maryland, College Park"
Ben Shneiderman,1983,185,"Univ. of Maryland, College Park"
Ben Shneiderman,2000,1,"Univ. of Maryland, College Park"
Ben Shneiderman,2006,296,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Gerhard Fischer,2006,296,"University of Colorado, Boulder, CO 80309, USA"
Mary Czerwinski,2006,296,"Microsoft Research, Redmond, WA 98052, USA"
Mitchel Resnick,2006,296,"MIT Media Lab, Cambridge, MA 02139, USA"
Brad A. Myers,2006,296,"Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA 15213, USA"
Linda Candy,2006,296,"University of Technology, Sydney, Australia"
Ernest A. Edmonds,2006,296,"University of Technology, Sydney, Australia"
Mike Eisenberg,2006,296,"University of Colorado, Boulder, CO 80309, USA"
Elisa Giaccardi,2006,296,"University of Colorado, Boulder, CO 80309, USA"
Thomas T. Hewett,2006,296,"Drexel University, Philadelphia, PA 19104, USA"
Pamela Jennings,2006,296,"Carnegie Mellon University, Pittsburgh, PA 15213, USA"
Bill Kules,2006,296,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Kumiyo Nakakoji,2006,296,Uni. of Tokyo
Jay F. Nunamaker,2006,296,University of Arizona
Randy F. Pausch,2006,296,Carnegie Mellon University
Ted Selker,2006,296,MIT Media Lab
Elisabeth Sylvan,2006,296,MIT Media Lab
Michael A. Terry,2006,296,Georgia Institute of Technology
John Alexis Guerra Gómez,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA"
Audra Buck-Coleman,2011,12,"Department of Art, University of Maryland, USA"
Catherine Plaisant,2011,12,"HCIL, University of Maryland, UMIACS, USA"
Ben Shneiderman,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA"
Carmen Sigovan,2013,28,"Univ Calif Davis, Davis, CA 95616 USA"
Chris Muelder,2013,28,"Univ Calif Davis, Davis, CA 95616 USA"
Kwan-Liu Ma,2013,28,"Univ Calif Davis, Davis, CA 95616 USA"
Jason Cope,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA"
Kamil Iskra,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA"
Robert Ross,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA"
Wei Chen,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
Zi'ang Ding,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
Song Zhang,2009,74,"Department of Computer Science and Engineering,Mississippi State University"
Anna MacKay-Brandt,2009,74,Brown University
Stephen Correia,2009,74,Brown University
Huamin Qu,2009,74,"Department of Computer Science and Engineering,The Hong Kong University of Science and Technology"
John Allen Crow,2009,74,"College of Veterinary Medicine, Mississippi State University"
David F Tate,2009,74,Brigham and Women’s Hospital
Zhicheng Yan,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
Qunsheng Peng,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
Tarik Crnovrsanin,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
Chris Muelder,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
Robert Faris,2014,69,"Department of Sociology, 2247 Social Science and Humanities, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
Diane Felmlee,2014,69,"Department of Sociology, Pennsylvania State University, Oswald Tower, University Park, PA 16802, United States"
Kwan-Liu Ma,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
Hyunmo Kang,2006,22,"Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland at College Park, College Par ..."
Ben Shneiderman,2006,22,"Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland at College Park, College Par ..."
Ben Shneiderman,2006,628,University of Maryland
Catherine Plaisant,2006,628,University of Maryland
Christopher Plaue,2004,94,"Georgia Institute of Technology, Atlanta, GA"
Todd Miller,2004,94,"Georgia Institute of Technology, Atlanta, GA"
John Stasko,2004,94,"Georgia Institute of Technology, Atlanta, GA"
Carl Machover,1995,0,Machover Associates Corporation
Gavin Bell,1995,0,Silicon Graphics
Tamara Munzner,1995,0,"Geometry Center, University of Minnesota"
Fabio Pettinati,1995,0,Apple Computer
Val Watson,1995,0,NASA Ames Research Center
Ben Shneiderman,1990,1,"University of Maryland, College Park, MD"
Yu-Hsuan Chan,2010,14,"University of California, Davis"
Kimberly Keeton,2010,14,"Hewlett-Packard Labs, Palo Alto, CA"
Kwan-Liu Ma,2010,14,"University of California, Davis"
Kwan-Liu Ma,2013,44,"University of California, Davis"
Chris W. Muelder,2013,44,"University of California, Davis"
Stephen C. North,2004,0,AT&T
Tamara Munzner,2004,0,University of British Columbia
Tzi-cker Chiueh,1997,18,"SUNY Stony Brook, Dept Comp Sci, Stony Brook, NY 11794 USA"
Kwan-Liu Ma,1997,18,"ICASE, NASA Langley Research Center, Hampton, Virginia"
Ben Shneiderman,1998,2,"Human-Computer Interaction Laboratory, University of Maryland, College Park, MD"
Catherine Plaisant,1998,2,"Human-Computer Interaction Laboratory, University of Maryland, College Park, MD"
Rohit Mahajan,1997,137,"BDM Int, 1501 BDM Way, Mclean, VA 22101 USA"
Ben Shneiderman,1997,137,"University of Maryland, College Park, MD"
Bill Kules,2004,44,"University of Maryland, College Park, MD"
Hyunmo Kang,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
Catherine Plaisant,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
Anne Rose,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
Ben Shneiderman,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
Greg Schussman,2002,18,"Univ Calif Davis, Ctr Image Proc & Integrated Computing, Dept Comp Sci, Davis, CA 95616 USA"
Kwan-Liu Ma,2002,18,"Univ Calif Davis, Ctr Image Proc & Integrated Computing, Dept Comp Sci, Davis, CA 95616 USA"
Ben Shneiderman,2007,653,University of Maryland at College Park
Tamara Munzner,1995,311,"The Geometry Center, University of Minnesota, 1300 S. 2nd St, Suite 500, Minneapolis, MN"
Paul Burchard,1995,311,"Computer Science Dept, Princeton, University, 35 Olden Street, Princeton NJ and Department of Mathematics, University of Utah, Salt Lake City, Utah"
Yue Wang,2006,44,"Computer Science Department, University of California, Davis"
Soon Tee Teoh,2006,44,"Department of Computer Science, San Jose State University"
Kwan-Liu Ma,2006,44,"Computer Science Department, University of California, Davis"
Todd Miller,2002,74,"Georgia Institute of Technology, Atlanta, GA"
John Stasko,2002,74,"Georgia Institute of Technology, Atlanta, GA"
Hyunmo Kang,2003,83,"University of Maryland, College Park, MD"
Catherine Plaisant,2003,83,"University of Maryland, College Park, MD"
Ben Shneiderman,2003,83,"University of Maryland, College Park, MD"
Patricia Baird,1990,6,"Department of Information Science, University of Strathclyde"
Jacqueline Covo,1990,6,
Ben Shneiderman,1990,6,"University of Maryland, College Park, MD"
Ian Williams,1990,6,
Renee Deter,1990,6,
Aaron Barsky,2007,213,University of British Columbia
Jennifer L. Gardy,2007,213,University of British Columbia
Robert E W Hancock,2007,213,University of British Columbia
Tamara Munzner,2007,213,University of British Columbia
Michael Sedlmair,2013,186,University of Vienna
Tamara Munzner,2013,186,University of British Columbia
Melanie Tory,2013,186,University of Victoria
Quan Li,2013,13,Tsinghua University
Huamin Qu,2013,13,Hong Kong University of Science and Technology
Li Chen,2013,13,Tsinghua University
Robert Wang,2013,13,"Information System, Sina Technology, (China)Co., Ltd"
Junhai Yong,2013,13,Tsinghua University
Detan Si,2013,13,"Information System, Sina Technology, (China)Co., Ltd"
Ben Shneiderman,1982,68,"Univ.of Maryland, College Park"
Dmitry Nekrasovski,2006,90,"University of British Columbia, Vancouver, Canada"
Adam Bodnar,2006,90,"University of British Columbia, Vancouver, Canada"
Joanna McGrenere,2006,90,"University of British Columbia, Vancouver, Canada"
François Guimbretière,2006,90,"University of Maryland, College Park, MD"
Tamara Munzner,2006,90,"University of British Columbia, Vancouver, Canada"
Tom Peterka,2009,67,"Argonne National Laboratory, Argonne, IL"
Hongfeng Yu,2009,67,"Sandia National Laboratories, Livermore, CA"
Robert Ross,2009,67,"Argonne National Laboratory, Argonne, IL"
Kwan-Liu Ma,2009,67,"University of California, Davis, CA"
