posX,posY,name,year
0.3365737497272341,0.43123307796826593,computer graphics,1994
0.35763443180756893,0.31897462937576593,visualizable geometry,1994
0.34570046702782975,0.2736201950874868,low-dimensional geometry,1994
0.417164615862246,0.42353706132775903,volume rendering,1995
0.8960865080598676,0.5662476816700194,multiresolution analysis,1995
0.35545877281745536,0.31950052606169277,geometric visualization,1995
0.35610356765079837,0.24776062250517045,hyperbolic space,1995
0.49649929009123667,0.01779665063253144,tree structure,1995
0.38773092669718795,0.5287690502243018,real time systems,1996
0.3415980861740329,0.5278687727579946,virtual reality theater,1996
0.5773386868140946,0.6016288580272071,visualization,1996
0.417164615862246,0.42353706132775903,volume rendering,1999
0.3365737497272341,0.43123307796826593,computer graphics,1999
0.5773386868140946,0.6016288580272071,visualization,1999
0.880699589335665,0.48385462588765277,query processing,1999
0.41751835370795887,0.11782776036720655,edge crossings,1999
0.5773386868140946,0.6016288580272071,visualization,2000
0.3947460086750159,0.7384643006257205,user interface design,2000
0.8601288355267711,0.4545265257977082,information retrieval,2000
0.5629503106244288,0.3265675457656116,structural comparison,2003
0.390866029065513,0.500585978194303,real-time rendering,2003
0.5616260579997263,0.622729130944605,scientific visualization,2003
0.2890989006987252,0.3699022167986151,scientific computing,2003
0.301128032465235,0.2622066832982148,chemistry,2003
0.15495159006295023,0.13973958985866736,bioinformatics,2003
0.5773386868140946,0.6016288580272071,visualization,2004
0.7668833595343344,0.4515241242085627,clustering algorithms,2004
0.7996806257520732,0.4300159477156865,convolution clustering,2004
0.5626173358129558,0.8424106536987286,focus+context,2004
0.8316895890162241,0.6019551795675349,aggregation,2004
0.6284293516077929,0.40411045042214894,multidimensional scaling,2004
0.41545005786214384,0.4792794342846489,progressive layout,2004
0.5781298478571233,0.6139830488841556,data visualisation,2004
0.4472139461164151,0.5667575687296832,animation,2004
0.7942931641140704,0.6360652433455931,failure analysis,2004
0.546665520638504,0.8957812667915113,context transformation,2004
0.3522650919349434,0.9078512154993246,perceptual invariance,2004
0.3259778019831124,0.8815166211483123,human perception,2004
0.8044508879030587,0.771854720614795,time series data,2004
0.7691493193675585,0.7603993366829551,sequence analysis,2004
0.390866029065513,0.500585978194303,real-time rendering,2005
0.3599726692733345,0.48199792769855826,partitioned rendering infrastructure,2005
0.5773386868140946,0.6016288580272071,visualization,2005
0.5687547305538027,0.33851874233138834,visual comparison,2005
0.33413486316348584,0.43739894368940013,computer graphic,2005
0.5176442420763812,0.09830998250755607,treejuxtaposer system,2005
0.5773386868140946,0.6016288580272071,visualization,2006
0.5440571850970296,0.7468653018451477,evaluation,2006
0.36152183998574794,0.6389333597062709,rubber sheet navigation,2006
0.390866029065513,0.500585978194303,real-time rendering,2006
0.49649929009123667,0.01779665063253144,tree structure,2006
0.4230363019121591,0.300200874079656,composite rectilinear deformation,2006
0.3939198237169854,0.32578435717212184,geometric transformation,2006
0.771185597220025,0.15766271495461065,rectangular fisheye,2006
0.5616260579997263,0.622729130944605,scientific visualization,2006
0.48191349876505274,0.036160264860046476,quasi-tree,2006
0.24769442421367455,0.09795290764738579,biological network,2007
0.45724255694684685,0.09964006986100338,multilevel graph layout,2007
0.7352355503652213,0.6968591787703273,statistical analysis,2007
0.7894673416899023,0.6615326606078169,visual exploratory analysis,2007
0.5781298478571233,0.6139830488841556,data visualisation,2007
0.3773039388525561,0.7330738958964811,user interfaces,2007
0.6939048667928898,0.3625670939372081,spatial data,2007
0.5268134555943509,0.5447403592526867,information landscape,2007
0.6870397113171975,0.31411958612634405,point-based spatializations,2007
0.5769334848794194,0.24940164879877708,feature-based approach,2007
0.5291163323340573,0.0025461087598805943,graph hierarchy,2007
0.6597953433025545,0.7690242588211648,overview use,2007
0.49854526080910017,0.6801243143255147,visualization system design,2008
0.4810526336019144,0.8126711360470662,study design,2008
0.4722743826967224,0.7303884157364646,design guideline,2008
0.36558747221539756,0.7447376637005076,interface use,2008
0.5773386868140946,0.6016288580272071,visualization,2008
0.4397310614216109,0.6091770430354937,interactive visual exploration,2008
0.7871394647983598,0.4519427070284728,clustering algorithm,2008
0.5591282282690004,0.0,hierarchy space,2008
